OID_;POINT_X;POINT_Y;Name;SymbolID;PopupInfo
0;30.38524901;0.64309339;4011;0;"<img style=""""max-width:500px"
1;30.38539804;0.642193006;4012;1;&nbsp
2;30.38634603;0.642301971;4013;1;&nbsp
3;30.38618602;0.643259017;4014;1;&nbsp
4;30.37282588;0.4648941;5011;2;NaturalForest_Kanyanchu
5;30.37381334;0.464894427;5014;2;NaturalForest_Kanyanchu
6;30.37650728;0.462301535;5021;2;NaturalForest_Kanyanchu
7;30.37650695;0.463295668;5022;2;NaturalForest_Kanyanchu
8;30.38125;0.356807979;R1;1;&nbsp
9;30.38093601;0.356016979;R2;1;&nbsp
10;30.38578503;0.356067019;R3;1;&nbsp
11;30.38580498;0.355178034;R4;1;&nbsp
12;30.38644502;0.356705971;R5;1;&nbsp
13;30.36322396;0.55735901;K1;1;&nbsp
14;30.36300796;0.557286004;K2;1;&nbsp
15;30.36172704;0.555916987;K3;1;&nbsp
16;30.36150198;0.555643989;K4;1;&nbsp
17;30.29576061;0.38489113;1011;3;1999
18;30.29576033;0.385885199;1012;3;1999
19;30.29674771;0.385885464;1013;3;1999
20;30.29674799;0.384891393;1014;3;1999
21;30.3012345;0.390405183;1021;3;2000
22;30.30123421;0.391399257;1022;3;2000
23;30.3022216;0.391399525;1023;3;2000
24;30.30222188;0.39040545;1024;3;2000
25;30.30123186;0.399442219;1031;3;2000
26;30.30123157;0.400436293;1032;3;2000
27;30.30221895;0.400436569;1033;3;2000
28;30.30221924;0.399442494;1034;3;2000
29;30.3057213;0.394924935;1041;3;"<img src=""https://www.polybox.ethz.ch/index.php/s/J4cl8hVr9RpmzZY""> 2000"
30;30.30572101;0.395919012;1042;3;2000
31;30.3067084;0.395919285;1043;3;2000
32;30.30670869;0.394925207;1044;3;2000
33;30.30571863;0.403962004;1051;3;2000
34;30.30571833;0.404956081;1052;3;2000
35;30.30670572;0.404956361;1053;3;2000
36;30.30670602;0.403962282;1054;3;2000
37;30.30919883;0.381921512;1061;3;1999
38;30.30919855;0.382915593;1062;3;1999
39;30.31018594;0.382915855;1063;3;1999
40;30.31018622;0.381921774;1064;3;1999
41;30.31021074;0.390407619;1071;3;1999
42;30.31021045;0.3914017;1072;3;1999
43;30.31119784;0.391401969;1073;3;1999
44;30.31119813;0.390407887;1074;3;1999
45;30.31020811;0.39944472;1081;3;2000
46;30.31020781;0.400438802;1082;3;2000
47;30.3111952;0.400439078;1083;3;2000
48;30.3111955;0.399444996;1084;3;2000
49;30.31470018;0.385890271;1091;3;1999
50;30.31469989;0.386884356;1092;3;1999
51;30.31568729;0.386884621;1093;3;1999
52;30.31568757;0.385890536;1094;3;1999
53;30.31371047;0.393933049;1101;3;1999
54;30.31371019;0.394927133;1102;3;1999
55;30.31469758;0.394927405;1103;3;1999
56;30.31469787;0.39393332;1104;3;1999
57;30.31469492;0.403964539;1111;3;2000
58;30.31469462;0.404958624;1112;3;2000
59;30.31568202;0.404958903;1113;3;2000
60;30.31568232;0.403964818;1114;3;2000
61;30.31954873;0.309419042;1121;3;1996
62;30.31954851;0.310413131;1122;3;1996
63;30.3205359;0.310413336;1123;3;1996
64;30.32053612;0.309419246;1124;3;1996
65;30.3191921;0.372335724;1131;3;1999
66;30.31919183;0.373329813;1132;3;1999
67;30.32017923;0.373330068;1133;3;1999
68;30.3201795;0.372335979;1134;3;1999
69;30.31923483;0.380152885;1141;3;1999
70;30.31923456;0.381146974;1142;3;1999
71;30.32022195;0.381147235;1143;3;1999
72;30.32022223;0.380153146;1144;3;1999
73;30.31918734;0.389415969;1151;3;1999
74;30.31918705;0.390410057;1152;3;1999
75;30.32017445;0.390410326;1153;3;1999
76;30.32017474;0.389416237;1154;3;1999
77;30.32369685;0.304557887;1161;3;1996
78;30.32369663;0.305551979;1162;3;1996
79;30.32468403;0.305552181;1163;3;1996
80;30.32468424;0.304558088;1164;3;1997
81;30.32369485;0.313595086;1171;3;1996
82;30.32369463;0.314589178;1172;3;1996
83;30.32468203;0.314589387;1173;3;1996
84;30.32468225;0.313595294;1174;3;1996
85;30.32369279;0.322632285;1181;3;1996
86;30.32369256;0.323626377;1182;3;1996
87;30.32467996;0.323626593;1183;3;1996
88;30.32468019;0.3226325;1184;3;1996
89;30.32367904;0.376855479;1191;3;1999
90;30.32367877;0.377849571;1192;3;1999
91;30.32466617;0.377849829;1193;3;1999
92;30.32466645;0.376855737;1194;3;1999
93;30.32818788;0.291002953;1201;3;1998
94;30.32818768;0.291997048;1202;3;1998
95;30.32917508;0.291997239;1203;3;1998
96;30.32917528;0.291003143;1204;3;1998
97;30.32818403;0.309077415;1211;3;1997
98;30.32818381;0.310071511;1212;3;1997
99;30.32917121;0.310071716;1213;3;1997
100;30.32917143;0.30907762;1214;3;1997
101;30.3271946;0.318114435;1221;3;1996
102;30.32719438;0.31910853;1222;3;1996
103;30.32818178;0.319108742;1223;3;1996
104;30.328182;0.318114647;1224;3;1996
