OID_,POINT_X,POINT_Y,Name,SymbolID,PopupInfo
1,208960.189000000245869,71155.748600000515580,4011,0,<img style=""max-width:500px;"" src=""files/core-4011.jpg"">
2,208976.737700000405312,71056.116100000217557,4012,1,&nbsp;
3,209082.335699999704957,71068.118599999696016,4013,1,&nbsp;
4,209064.567300000227988,71174.020999999716878,4014,1,&nbsp;
5,207567.687900000251830,51439.205399999395013,5011,2,NaturalForest_Kanyanchu
6,207677.680200000293553,51439.200600000098348,5014,2,NaturalForest_Kanyanchu
7,207977.649000000208616,51152.193600000813603,5021,2,NaturalForest_Kanyanchu
8,207977.652999999932945,51262.191299999132752,5022,2,NaturalForest_Kanyanchu
9,208502.118200000375509,39479.514000000432134,R1,1,&nbsp;
10,208467.118400000035763,39392.002699999138713,R2,1,&nbsp;
11,209007.250400000251830,39397.385999999940395,R3,1,&nbsp;
12,209009.444600000046194,39299.022700000554323,R4,1,&nbsp;
13,209080.786500000394881,39468.062599999830127,R5,1,&nbsp;
14,206502.337299999780953,61670.666699999943376,K1,1,&nbsp;
15,206478.273599999956787,61662.599500000476837,K2,1,&nbsp;
16,206335.525700000114739,61511.184200000017881,K3,1,&nbsp;
17,206310.443799999542534,61480.988600000739098,K4,1,&nbsp;
18,198980.081000000238419,42589.787699999287724,1011,3,1999
19,198980.084699999541044,42699.785599999129772,1012,3,1999
20,199090.076200000010431,42699.779899999499321,1013,3,1999
21,199090.072399999946356,42589.781899999827147,1014,3,1999
22,199590.050999999977648,43199.744500000029802,1021,3,2000
23,199590.054100000299513,43309.742399999871850,1022,3,2000
24,199700.046099999919534,43309.736600000411272,1023,3,2000
25,199700.041899999603629,43199.738700000569224,1024,3,2000
26,199590.081799999810755,44199.725500000640750,1031,3,2000
27,199590.085699999704957,44309.723400000482798,1032,3,2000
28,199700.076500000432134,44309.717700000852346,1033,3,2000
29,199700.072599999606609,44199.719799999147654,1034,3,2000
30,200090.026399999856949,43699.709200000390410,1041,3,"<img src=""https://www.polybox.ethz.ch/index.php/s/J4cl8hVr9RpmzZY"">

2000"
31,200090.029799999669194,43809.707100000232458,1042,3,2000
32,200200.021300000138581,43809.701500000432134,1043,3,2000
33,200200.017900000326335,43699.703700000420213,1044,3,2000
34,200090.057000000029802,44699.690199999138713,1051,3,2000
35,200090.060200000181794,44809.688100000843406,1052,3,2000
36,200200.051599999889731,44809.682499999180436,1053,3,2000
37,200200.048499999567866,44699.684499999508262,1054,3,2000
38,200476.951399999670684,42260.717000000178814,1061,3,1999
39,200476.954699999652803,42370.714999999850988,1062,3,1999
40,200586.946100000292063,42370.709499999880791,1063,3,1999
41,200586.942800000309944,42260.711600000038743,1064,3,1999
42,200589.971499999985099,43199.693399999290705,1071,3,1999
43,200589.974499999545515,43309.691299999132752,1072,3,1999
44,200699.965699999593198,43309.685699999332428,1073,3,1999
45,200699.962700000032783,43199.687799999490380,1074,3,1999
46,200590.002399999648333,44199.674200000241399,1081,3,2000
47,200590.004999999888241,44309.672199999913573,1082,3,2000
48,200699.996100000105798,44309.666600000113249,1083,3,2000
49,200699.993400000035763,44199.668700000271201,1084,3,2000
50,201089.917200000025332,42699.677999999374151,1091,3,1999
51,201089.919700000435114,42809.675899999216199,1092,3,1999
52,201199.911600000225008,42809.670399999246001,1093,3,1999
53,201199.907999999821186,42699.672599999234080,1094,3,1999
54,200979.951899999752641,43589.666300000622869,1101,3,1999
55,200979.956299999728799,43699.664200000464916,1102,3,1999
56,201089.947100000455976,43699.658700000494719,1103,3,1999
57,201089.943900000303984,43589.660800000652671,1104,3,1999
58,201089.977800000458956,44699.639499999582767,1111,3,2000
59,201089.980800000019372,44809.637399999424815,1112,3,2000
60,201199.972500000149012,44809.631799999624491,1113,3,2000
61,201199.969499999657273,44699.633999999612570,1114,3,2000
62,201627.619400000199676,34237.816199999302626,1121,3,1996
63,201627.622800000011921,34347.814099999144673,1122,3,1996
64,201737.614099999889731,34347.808800000697374,1123,3,1996
65,201737.610700000077486,34237.810900000855327,1124,3,1996
66,201589.831600000150502,41199.682299999520183,1131,3,1999
67,201589.835099999792874,41309.680299999192357,1132,3,1999
68,201699.826799999922514,41309.675000000745058,1133,3,1999
69,201699.823400000110269,41199.677100000903010,1134,3,1999
